,bin0,bin1,bin2,bin3,bin4
10.1100,"[-0.26147875623678063, 0.11665547252295241, -0.27499855381324895, -0.0870432739931786, -0.14552223982484475]","[-0.096514602421533, 0.06856500048382697, -0.0870432739931786, -0.02501003315982282, -0.05308360189268907]","[-0.03244175877861093, 0.0725009695449445, -0.02501003315982282, 0.018044812100815582, -0.003503699455549564]","[0.027425266604831106, 0.06969712843850948, 0.018044812100815582, 0.06522406332996926, 0.04025438791012028]","[0.12104591549017919, 0.08775163623900749, 0.06522406332996926, 0.3337585094272405, 0.11745315180546487]"
9.9380,"[-0.2397260852560105, 0.1176758303094345, -0.2778232235744793, -0.08782295603586113, -0.1472308473562629]","[-0.08151756015820377, 0.06801379623310232, -0.08782295603586113, -0.025410623805571738, -0.05380645694614267]","[-0.015515357253266969, 0.07260876812192309, -0.025410623805571738, 0.018434407019180057, -0.00364674725607487]","[0.0450920309070022, 0.07193688753144517, 0.018434407019180057, 0.06585256117503516, 0.04056792741191147]","[0.14055495888187772, 0.0941681526312989, 0.06585256117503516, 0.3393208132057071, 0.11861214586822949]"
9.7710,"[-0.22491046728838174, 0.11337204305818793, -0.2805715383782749, -0.08872631621993729, -0.14879635039951056]","[-0.0742906427995207, 0.06599551899195409, -0.08872631621993729, -0.025704540927700456, -0.054455344080708505]","[-0.00574302236593544, 0.0758318199217501, -0.025704540927700456, 0.018464431192405574, -0.0037309653290929913]","[0.055876644252788286, 0.07393890212803389, 0.018464431192405574, 0.06654458670619667, 0.04087453354530546]","[0.15351509123639273, 0.09585906984603958, 0.06654458670619667, 0.3434227036343717, 0.1196717983805559]"
9.6110,"[-0.18977178255654947, 0.1203451015479993, -0.2834793027898943, -0.09022444233217312, -0.1505315152834902]","[-0.045727302213713496, 0.06548352249415468, -0.09022444233217312, -0.025888869265907364, -0.05519046551209917]","[0.02104858869185965, 0.07367372735152565, -0.025888869265907364, 0.01836547492535459, -0.0038432815259092853]","[0.07794445444811769, 0.06779823608990015, 0.01836547492535459, 0.06683412569562176, 0.041180645188495665]","[0.1812738656948357, 0.08385081899295314, 0.06683412569562176, 0.34517017035333236, 0.12083552055559446]"
9.4570,"[-0.17109509937042996, 0.11676125907682483, -0.2862350779278473, -0.09148390624152689, -0.1520755285099193]","[-0.02638952490947018, 0.06920356700446238, -0.09148390624152689, -0.026217254036925854, -0.055794049007411084]","[0.0337994859725232, 0.0718912048256244, -0.026217254036925854, 0.018477816894815854, -0.003907507227132698]","[0.09216733756862217, 0.06937306090488819, 0.018477816894815854, 0.06738125451688026, 0.041520035613013845]","[0.18661784066623738, 0.08520528334956838, 0.06738125451688026, 0.34617467993196804, 0.12176662847888095]"
9.3080,"[-0.16720613213851895, 0.10422922098257265, -0.2890482335714143, -0.09318360527303661, -0.1537168419024752]","[-0.016035578851986403, 0.06863420859693997, -0.09318360527303661, -0.026797300612132393, -0.05648602410436041]","[0.04994180979244012, 0.07277274615790578, -0.026797300612132393, 0.01880273303546997, -0.0039922921230097575]","[0.11541990907141146, 0.07451365455286105, 0.01880273303546997, 0.06789910690775142, 0.04189357593795747]","[0.20207410294973763, 0.08186633446714116, 0.06789910690775142, 0.34977865866439717, 0.12282893267502819]"
9.1640,"[-0.14116938745510563, 0.110249400314036, -0.2918449719534573, -0.09454007727756723, -0.15534334289269422]","[0.004637231559734549, 0.07472064520491188, -0.09454007727756723, -0.027140359850099504, -0.057200016391932666]","[0.07043174151533282, 0.07714749516696634, -0.027140359850099504, 0.018655704834816423, -0.004119777351044241]","[0.12900380770435704, 0.07391062516847152, 0.018655704834816423, 0.06831987602217143, 0.04212036234266712]","[0.22158567435081736, 0.08780634805800418, 0.06831987602217143, 0.35509434908010734, 0.12396795157609827]"
9.0260,"[-0.12992014934864476, 0.10304326859492417, -0.2944360280446088, -0.09550994106350782, -0.15687233164427114]","[0.015056528011480202, 0.0741432841539079, -0.09550994106350782, -0.02725392598896177, -0.057834362673581906]","[0.07971753751045653, 0.07772727821534052, -0.02725392598896177, 0.01881483354288762, -0.004211719432796554]","[0.14337059908194422, 0.07630213698660236, 0.01881483354288762, 0.06898141739958089, 0.0424780533375412]","[0.23461459512749072, 0.0915644405461142, 0.06898141739958089, 0.3602863487394071, 0.12498467226521498]"
8.8920,"[-0.1060189147725186, 0.11081523725974729, -0.29722380263312737, -0.09651210290807721, -0.15850793475779845]","[0.03856296368378729, 0.07166217450800173, -0.09651210290807721, -0.02797212113066909, -0.05855389759622748]","[0.10648781922812735, 0.07590723518196442, -0.02797212113066909, 0.018761164715367814, -0.004296797371427798]","[0.1654855369066515, 0.07578741981367632, 0.018761164715367814, 0.0695924070131556, 0.042820036162005255]","[0.24987535802238353, 0.08465460442194088, 0.0695924070131556, 0.36330549216941677, 0.12601920927143723]"
8.7620,"[-0.10233399454960851, 0.10042803064595435, -0.29975464749778113, -0.09718547085843879, -0.16003788099737146]","[0.042030314836207776, 0.07254577241296623, -0.09718547085843879, -0.028125626460475422, -0.05922859646144811]","[0.10649848767011262, 0.07524118647841166, -0.028125626460475422, 0.018547691704098257, -0.0044849747135221755]","[0.1704632759628238, 0.0788415953718899, 0.018547691704098257, 0.06997528103955744, 0.043009003075426426]","[0.2675897298793745, 0.09195114054814452, 0.06997528103955744, 0.3658066662951507, 0.1272204023660844]"
