,bin0,bin1,bin2,bin3
18.5400,"[-1.4402640719556437, 0.16919785646311106, -0.13120995650701844, -0.025690438433197058, -0.059955981050994464]","[-1.221776009744878, 0.0788176535179106, -0.025690438433197058, 0.004505435039309409, -0.009478506184249504]","[-1.11163598210036, 0.0702744208329745, 0.004505435039309409, 0.028319266017280773, 0.015414858668110204]","[-0.9618610081395897, 0.10218516389141324, 0.028319266017280773, 0.18454261142920445, 0.05411222473389182]"
17.8480,"[-1.31389371999931, 0.1734492728959608, -0.13573129659428748, -0.026412787436261978, -0.062029803061477276]","[-1.094670056866368, 0.0784730971826497, -0.026412787436261978, 0.004739350056743976, -0.009847101090544852]","[-0.9887667486185725, 0.06977619298628686, 0.004739350056743976, 0.02901954496865717, 0.015881963977235857]","[-0.8468656555284126, 0.09732349186259641, 0.02901954496865717, 0.1903597665688031, 0.055824950533549376]"
17.2150,"[-1.203881223880648, 0.16982060996662585, -0.14009298709212498, -0.027013816009620845, -0.06402332221555482]","[-0.9881765036487992, 0.0732076056488967, -0.027013816009620845, 0.004644499660078461, -0.01020224190621037]","[-0.8858872027055071, 0.06165427645794816, 0.004644499660078461, 0.029754049233549004, 0.016328917680986297]","[-0.7497531059080301, 0.0881527368755356, 0.029754049233549004, 0.19579983015016028, 0.057453112419978206]"
16.6330,"[-1.099482755407835, 0.16536808027017705, -0.14429356806428964, -0.02781353064645228, -0.06593905544467438]","[-0.8892432412243261, 0.07002230341681011, -0.02781353064645228, 0.004477231781368701, -0.010539460283111791]","[-0.7905210684661945, 0.05781393677415219, 0.004477231781368701, 0.030572134289417963, 0.016765504558782576]","[-0.6593256469147023, 0.08418094659892897, 0.030572134289417963, 0.20066852627628112, 0.058992678311298216]"
16.0950,"[-1.0070831516200438, 0.16296135550530932, -0.14833711149470716, -0.028672239954248196, -0.06778091038194317]","[-0.7981398569046464, 0.0663159071827299, -0.028672239954248196, 0.004334610076364981, -0.010861620350699158]","[-0.71123225312029, 0.05361168467635657, 0.004334610076364981, 0.031284496404582036, 0.0171824151181991]","[-0.5908643900261346, 0.07807487905750057, 0.031284496404582036, 0.2051438191013793, 0.060428423103182104]"
15.5960,"[-0.9245259806021844, 0.1573010176343734, -0.15221429415779048, -0.02950398778564737, -0.06954464639179866]","[-0.7237912806599743, 0.0636701184221853, -0.02950398778564737, 0.00417815644904931, -0.011172538626515809]","[-0.6408211423157051, 0.05263811567841425, 0.00417815644904931, 0.032010294918154825, 0.017590303467113568]","[-0.5195293028737792, 0.078230453353691, 0.032010294918154825, 0.20942474676741724, 0.061820780833489665]"
15.1320,"[-0.8455878953734022, 0.15219420316809945, -0.155953902418024, -0.03031961697327328, -0.07124804488653927]","[-0.6534386068856888, 0.05866995749040141, -0.03031961697327328, 0.004112969385154631, -0.011470732177254259]","[-0.5716296973735664, 0.05102876107816513, 0.004112969385154631, 0.032721543803118716, 0.017984649637725836]","[-0.4549002247015424, 0.07477878012264207, 0.032721543803118716, 0.21333624521213773, 0.06314655470813584]"
14.6990,"[-0.7687676146260094, 0.14947970477602887, -0.15958479633873962, -0.03110796011034049, -0.07290224809444366]","[-0.583586313516236, 0.05865497932178496, -0.03110796011034049, 0.004215877450305049, -0.01176235688623501]","[-0.5041221056805122, 0.05203047930341092, 0.004215877450305049, 0.033381405006948375, 0.018359670808100356]","[-0.3946611546377693, 0.07340877675358769, 0.033381405006948375, 0.21717358357521124, 0.06440642540395254]"
14.2940,"[-0.7045505950192508, 0.14210790985637767, -0.16306002735141334, -0.031488191633720033, -0.07448773059520322]","[-0.5285320083654649, 0.055073652112479006, -0.031488191633720033, 0.004312174953992552, -0.01204000388569892]","[-0.4558120400487784, 0.045389369598743706, 0.004312174953992552, 0.03405715907708323, 0.01870659853495248]","[-0.3527631284942437, 0.06738859467948664, 0.03405715907708323, 0.2203759808351106, 0.06557557342866017]"
13.9140,"[-0.6492304599876165, 0.13562778342896226, -0.16640543876225503, -0.03203247246021074, -0.07602094977500293]","[-0.4801891717784865, 0.05306207250610415, -0.03203247246021074, 0.0041970241227110875, -0.012312001419512202]","[-0.4084308837098232, 0.050588726233660196, 0.0041970241227110875, 0.034541330301763054, 0.019043402130888242]","[-0.30207486063671246, 0.08188850928395813, 0.034541330301763054, 0.22370448439827711, 0.06672842248380317]"
13.5570,"[-0.5893297664564711, 0.13334509488848284, -0.1696880262909428, -0.03302175480469387, -0.0775223148302977]","[-0.42519075008625257, 0.05431021835200004, -0.03302175480469387, 0.004062747201855325, -0.012574897936033171]","[-0.3561083797029666, 0.045786331332314315, 0.004062747201855325, 0.035179301267955064, 0.019377149903197315]","[-0.26297907246908886, 0.061414845756281894, 0.035179301267955064, 0.22663107156419632, 0.06781216953922026]"
13.2210,"[-0.5319576669476992, 0.13162807551888772, -0.17286972191000047, -0.03390952299330541, -0.07897424441587954]","[-0.3753095643106236, 0.052716416325098846, -0.03390952299330541, 0.004143619808120179, -0.012833186668837423]","[-0.3097475795572385, 0.04690069792929055, 0.004143619808120179, 0.03576202245180004, 0.019696567455815515]","[-0.21977531774936956, 0.06497204182077206, 0.03576202245180004, 0.22974593775186009, 0.06887851060530953]"
12.9030,"[-0.48894628938374624, 0.12823805889836462, -0.17593909870691404, -0.034782334472880656, -0.08038327063764633]","[-0.3370071694013161, 0.05090248261323601, -0.034782334472880656, 0.004124233821949355, -0.01308177701245745]","[-0.2693162882811581, 0.04777864056592124, 0.004124233821949355, 0.03633574947562378, 0.020014528353179854]","[-0.1831167531781016, 0.06359320001695325, 0.03633574947562378, 0.23219056420262657, 0.06989437321600547]"
12.6030,"[-0.4534390722717735, 0.12025334851482211, -0.178898488475854, -0.03542389846216646, -0.08175362718498827]","[-0.3025107549250789, 0.050999575562015564, -0.03542389846216646, 0.004149627239016232, -0.013312877679616603]","[-0.2402657161507356, 0.04440064899956584, 0.004149627239016232, 0.03685931573535164, 0.020307062874263253]","[-0.1494153684554392, 0.06593665789295074, 0.03685931573535164, 0.2352010331111218, 0.07091687610035347]"
12.3180,"[-0.414540301189298, 0.1164810328946568, -0.18175981038979136, -0.0359729914555538, -0.08306586985842235]","[-0.2733764942905056, 0.05065600983851396, -0.0359729914555538, 0.004337667739047972, -0.013542684501849485]","[-0.213362936099095, 0.044371551765734034, 0.004337667739047972, 0.03737730480264016, 0.020601132886433456]","[-0.12132406815581619, 0.06663527160547707, 0.03737730480264016, 0.2382316436917643, 0.07187370307209918]"
12.0480,"[-0.3721048116247347, 0.11422613161763574, -0.18462635320340098, -0.036747271397271374, -0.08439537662701906]","[-0.23066670415709076, 0.05134622569187513, -0.036747271397271374, 0.004182735275591054, -0.013783539447907792]","[-0.17542440194062292, 0.04052355124920748, 0.004182735275591054, 0.03779902327546554, 0.02087697121069843]","[-0.08860768856046979, 0.06439140852821737, 0.03779902327546554, 0.2411097640863973, 0.07280998244270735]"
11.7910,"[-0.34101295092697914, 0.11143825621678846, -0.1873364725657247, -0.03736556011046115, -0.08566836309271873]","[-0.2053911298067646, 0.05219418088175161, -0.03736556011046115, 0.004287923551967835, -0.014027099224270107]","[-0.14675365132606444, 0.04611276579446946, 0.004287923551967835, 0.03821461794826756, 0.02115637042426543]","[-0.06145297145659924, 0.06011884729153203, 0.03821461794826756, 0.2430444522695832, 0.07368185297000819]"
11.5460,"[-0.30831638570075925, 0.11001478406183741, -0.1900210521490529, -0.03795763690437605, -0.08692537276846671]","[-0.17718720233469767, 0.052217357335757275, -0.03795763690437605, 0.004373853023663122, -0.014277625420934904]","[-0.11694207764172487, 0.04986595477435475, 0.004373853023663122, 0.03878455479520539, 0.021413380564990717]","[-0.030502915176101784, 0.06640947447489216, 0.03878455479520539, 0.24622848908426598, 0.07460321894549898]"
11.3130,"[-0.2764634399951992, 0.1090791490341395, -0.192631706308927, -0.03841332314009769, -0.08815755379148488]","[-0.14942320216596286, 0.05297145581388877, -0.03841332314009769, 0.0042245446211839534, -0.0145116571318416]","[-0.09038458420495135, 0.04773121686739014, 0.0042245446211839534, 0.039225563537248924, 0.02165940569566734]","[-0.007739899297512745, 0.06487258137289868, 0.039225563537248924, 0.2491559867363059, 0.07547070308224431]"
11.0900,"[-0.25151380978990084, 0.10642516373903015, -0.1951274351829586, -0.03863570722292008, -0.08933757619449234]","[-0.1291983251839066, 0.05260934907917724, -0.03863570722292008, 0.004045355204320028, -0.014736598126178198]","[-0.07064336702685943, 0.045047825790066186, 0.004045355204320028, 0.03961620278861096, 0.02190236877722952]","[0.014969843338304938, 0.0629059601440931, 0.03961620278861096, 0.251347766669415, 0.0763489000371632]"
10.8770,"[-0.22819375429726046, 0.10031911038219415, -0.19756235779440245, -0.03892984299880743, -0.09050030930556183]","[-0.11182671608372056, 0.0505834075671185, -0.03892984299880743, 0.004201531309880606, -0.014963203096815479]","[-0.056185117016770834, 0.042506441092349606, 0.004201531309880606, 0.039891923345968465, 0.02213676212895199]","[0.02825646890241217, 0.06077722033244684, 0.039891923345968465, 0.2538684200565027, 0.07716235427279068]"
10.6730,"[-0.19815704242439083, 0.10235823705912385, -0.20010001463973096, -0.03927288811794839, -0.09173617430255215]","[-0.07427188892237065, 0.05527351631981506, -0.03927288811794839, 0.004318361496648649, -0.015207247574713261]","[-0.0178685315624359, 0.04957944165404067, 0.004318361496648649, 0.0405126130724134, 0.022394438194684334]","[0.06626420038643506, 0.06578855821069039, 0.0405126130724134, 0.2564474816371314, 0.07805938020318248]"
10.4780,"[-0.17762408179679107, 0.10096273244370557, -0.20249159832729133, -0.039502854996529786, -0.09288582695010922]","[-0.060637920179073435, 0.05241461034772162, -0.039502854996529786, 0.0045057810989173105, -0.01547138386624247]","[-0.006373347142031744, 0.05110144517973725, 0.0045057810989173105, 0.04086632001400495, 0.022601336281794684]","[0.08622993139277146, 0.07693107136537422, 0.04086632001400495, 0.258994731747477, 0.07893984886856638]"
10.2900,"[-0.1499351209667929, 0.09991155621074241, -0.20489054863823894, -0.039931473973258684, -0.09405470101335724]","[-0.033507089274228394, 0.05469209795516802, -0.039931473973258684, 0.00471953300662091, -0.01571123016548784]","[0.018446930620444363, 0.052018421309730944, 0.00471953300662091, 0.04128370582090889, 0.022810350459740204]","[0.11162933276726747, 0.07691878283254165, 0.04128370582090889, 0.2621937486731826, 0.079763450545789]"
10.1100,"[-0.12940555918169447, 0.0995143490376734, -0.20716712599908743, -0.040480741918913224, -0.09515285556353775]","[-0.012559767417708402, 0.055264291916019635, -0.040480741918913224, 0.004764061795639204, -0.015908517552345184]","[0.039446302201168, 0.04700670437458304, 0.004764061795639204, 0.041875530765155225, 0.023061778900162255]","[0.11788581957792216, 0.0705990962881885, 0.041875530765155225, 0.2639877509580945, 0.080425214390868]"
9.9380,"[-0.10929454239356817, 0.09491005010635375, -0.20948724577432445, -0.041016447249260436, -0.09630552477131216]","[0.004163955427851432, 0.0567244640893317, -0.041016447249260436, 0.004871032664999991, -0.01617024934023999]","[0.051854029489659864, 0.04727789602259779, 0.004871032664999991, 0.042287456063976686, 0.02321067250299387]","[0.14534153325177027, 0.07709876937590701, 0.042287456063976686, 0.2675243365046074, 0.08135009722344175]"
