,bin0,bin1,bin2,bin3,bin4
8.7620,"[-0.005930658881008065, 0.08631613048169709, -0.22645860066280973, -0.06491880976432582, -0.11762098318693409]","[0.10957688726246284, 0.051645100613030515, -0.06491880976432582, -0.011953646546424224, -0.0352251288736944]","[0.16060765991641565, 0.05460879750486472, -0.011953646546424224, 0.020656154989682117, 0.0044004875192037805]","[0.20282128191935464, 0.05777667688900092, 0.020656154989682117, 0.05640731395176333, 0.036895237102513]","[0.27877567580033935, 0.07095027845396139, 0.05640731395176333, 0.28673465931174424, 0.0961177207640482]"
8.6360,"[0.019220217081699603, 0.08378480565108268, -0.2284988561163015, -0.06532859514534886, -0.1187793807250615]","[0.1274440437067443, 0.051512280064316456, -0.06532859514534886, -0.011666173488166474, -0.035614066169601354]","[0.18288890160755403, 0.050424069931440454, -0.011666173488166474, 0.019967203692663436, 0.0044042118591194794]","[0.214121188437277, 0.052798468734849134, 0.019967203692663436, 0.05649367940225394, 0.03713886165670903]","[0.2952986935011539, 0.06866825348460684, 0.05649367940225394, 0.29049386957147816, 0.09700983812485264]"
8.5150,"[0.030993443168163732, 0.0855198853547479, -0.23054511859619753, -0.0658086013095768, -0.11996831886740611]","[0.14306166242702367, 0.05121290393635278, -0.0658086013095768, -0.011947536125123575, -0.03600798659471425]","[0.19179354159456363, 0.05025535780012811, -0.011947536125123575, 0.01987912937421224, 0.004324183597662327]","[0.23486155112129906, 0.049275354954461684, 0.01987912937421224, 0.05708695934436087, 0.03750892849754166]","[0.3119934520416906, 0.07093871758075798, 0.05708695934436087, 0.292072612669251, 0.09779283970815444]"
8.3970,"[0.04211412012935348, 0.09004956800866384, -0.23240279129532995, -0.0665798773265845, -0.1210571430035519]","[0.15302532379556233, 0.062421176831407854, -0.0665798773265845, -0.011974339009869035, -0.03639761455953545]","[0.20188343370167589, 0.051050753964400064, -0.011974339009869035, 0.019823915401203016, 0.004281653712204593]","[0.23404511916593243, 0.05769077079610618, 0.019823915401203016, 0.05741815119527238, 0.0376793336458105]","[0.31236019760661216, 0.07572452961451412, 0.05741815119527238, 0.29598538030760907, 0.09856814148611087]"
8.2830,"[0.05629771523025398, 0.08671811205246487, -0.23434734495691426, -0.06697469357614669, -0.12221776586091657]","[0.17211574589468978, 0.054449262255218546, -0.06697469357614669, -0.01206331614632562, -0.0367486058832749]","[0.21681257049182132, 0.04841004800773642, -0.01206331614632562, 0.020282190247143235, 0.004293400414707184]","[0.2555110759097851, 0.050169746667317355, 0.020282190247143235, 0.058635825025881126, 0.038074913648419945]","[0.3299849584875914, 0.06864295809955426, 0.058635825025881126, 0.29851595956556565, 0.09947318010130739]"
8.1720,"[0.06399671970409705, 0.08436153735016318, -0.23613676041664952, -0.06738273547274445, -0.12328357841662313]","[0.18154574244139954, 0.050733349233850124, -0.06738273547274445, -0.01228107406228552, -0.03709570647635718]","[0.22904206682548883, 0.050716283456531217, -0.01228107406228552, 0.020577733161702888, 0.004318060753435854]","[0.26387882040009697, 0.05704707932608256, 0.020577733161702888, 0.05921473044693634, 0.03838876161324102]","[0.3477119620791882, 0.07548111169505234, 0.05921473044693634, 0.3013316743051253, 0.10045691666044369]"
8.0640,"[0.08144235651188987, 0.08238788814019928, -0.2380687094397485, -0.06809341330987781, -0.1244385449159174]","[0.19832870444273037, 0.0588510032970303, -0.06809341330987781, -0.012455292668515786, -0.037478761870624926]","[0.24229268415957902, 0.050288524922238405, -0.012455292668515786, 0.02041962548917386, 0.004279129900498295]","[0.27904220510397787, 0.04972679386188619, 0.02041962548917386, 0.05970362736045385, 0.038664740527294836]","[0.35124612064312327, 0.064314251788262, 0.05970362736045385, 0.3025591069321117, 0.1010885598723952]"
7.9600,"[0.09899633886617051, 0.08216271453711008, -0.23999628368349837, -0.06858725569799672, -0.12550329236139918]","[0.2061132704476848, 0.05225317121440563, -0.06858725569799672, -0.012925841500396138, -0.03787346116587415]","[0.2491129777653961, 0.042911887876431375, -0.012925841500396138, 0.020911437858222765, 0.0042376045342423655]","[0.28955915070284455, 0.04373367305626326, 0.020911437858222765, 0.06020097413716411, 0.038950653938674716]","[0.3657471590153658, 0.07035508934131393, 0.06020097413716411, 0.3071160092351868, 0.10202069862200269]"
7.8590,"[0.10437055694091905, 0.08659336726407395, -0.24185042404260784, -0.06928394111135139, -0.12664465604158265]","[0.22228822686478128, 0.05601779695437232, -0.06928394111135139, -0.012951543783649152, -0.03828573478030437]","[0.2619288723290944, 0.04801487121610873, -0.012951543783649152, 0.0210162552818163, 0.004190123809333418]","[0.30084921670564974, 0.05987861024471786, 0.0210162552818163, 0.060667694965304025, 0.03917522642308916]","[0.3773146317298538, 0.06725224708531438, 0.060667694965304025, 0.3051115054325543, 0.10267776406469475]"
7.7600,"[0.11533666275995409, 0.08102607992953238, -0.24372803208750912, -0.06997042017353654, -0.12774531336603434]","[0.22351583222664465, 0.05113489233412555, -0.06997042017353654, -0.013161279407051502, -0.03873986543573083]","[0.2692572188561512, 0.05107061852770503, -0.013161279407051502, 0.02096242048253196, 0.004170825520374016]","[0.3058889550693769, 0.05052031724029233, 0.02096242048253196, 0.061133687164229844, 0.039425987147480024]","[0.3842202117238646, 0.06609637071466916, 0.061133687164229844, 0.3095533499032375, 0.1036458370959414]"
